Type,# Fat,Date,Month,Day,Hour,Time,x,y,Year
Pedestrian,1,2015-07-16,7,4,2,02:23,-97.660994,30.302634,2015
Motor Vehicle,1,2015-07-15,7,3,20,20:07,-97.820667,30.385117,2015
Motor Vehicle,3,2015-07-24,7,5,1,01:13,-97.694321,30.348091,2015
Motor Vehicle,1,2015-07-30,7,3,0,00:42,-97.831644,30.163553,2015
Motor Vehicle,1,2015-07-31,7,5,12,12:23,-97.823807,30.173724,2015
Pedestrian,1,2015-07-27,7,1,21,21:19,-97.778258,30.194397,2015
Motorcycle,1,2015-08-09,8,7,1,01:30,-97.743496,30.266209,2015
Motor Vehicle,1,2015-08-10,8,1,8,08:49,-97.847401,30.182463,2015
Motorcycle,1,2015-08-16,8,7,18,18:01,-97.734873,30.275603,2015
Motor Vehicle,2,2015-08-19,8,3,2,02:36,-97.71529,30.301973,2015
Motor Vehicle,2,2015-08-20,8,4,12,12:34,-97.687638,30.182873,2015
Motor Vehicle,4,2015-08-30,8,7,4,04:53,-97.732709,30.393224,2015
Pedestrian,1,2015-09-08,9,2,21,21:02,-97.805739,30.207217,2015
Motor Vehicle,1,2015-09-14,9,1,5,05:00,-97.694849,30.347241,2015
Pedestrian,1,2015-09-14,9,1,20,20:48,-97.677,30.427,2015
Pedestrian,1,2015-09-22,9,2,8,08:27,-97.7706,30.190436,2015
Motor Vehicle,1,2015-09-23,9,3,1,01:09,-97.63804,30.20259,2015
Motor Vehicle,1,2015-09-26,9,6,3,03:58,-97.637274,30.276794,2015
Motorcycle,1,2015-10-10,10,6,21,21:47,-97.734873,30.245924,2015
Pedestrian,1,2015-10-14,10,3,0,00:55,-97.753554,30.238795,2015
Motor Vehicle,1,2015-10-31,10,6,19,19:33,-97.696726,30.319925,2015
Motor Vehicle,1,2015-11-03,11,2,0,00:04,-97.616094,30.332798,2015
Motor Vehicle,1,2015-11-06,11,5,2,02:09,-97.682474,30.221945,2015
Motor Vehicle,1,2015-11-09,11,1,0,00:21,-97.723913,30.371852,2015
Pedestrian,1,2015-11-08,11,7,3,03:13,-97.725656,30.23768,2015
Motor Vehicle,1,2015-11-14,11,6,1,01:55,-97.866869,30.200995,2015
Motor Vehicle,1,2015-11-14,11,6,17,17:03,-97.715625,30.330386,2015
Motorcycle,1,2015-11-18,11,3,19,19:52,-97.720636,30.237093,2015
Pedestrian,1,2015-11-30,11,1,5,05:23,-97.778778,30.178904,2015
Pedestrian,1,2015-12-11,12,5,19,19:19,-97.621854,30.168811,2015
Motor Vehicle,1,2015-12-16,12,3,2,02:36,-97.703816,30.262494,2015
Pedestrian,1,2015-12-17,12,4,12,12:50,-97.645918,30.206452,2015
Bicycle,1,2015-12-22,12,2,6,06:31,-97.851153,30.181508,2015
Motor Vehicle,1,2015-09-05,9,6,7,07:14,-97.756444,30.177781,2015
Motor Vehicle,1,2015-12-30,12,3,3,03:26,-97.761469,30.261983,2015
Motor Vehicle,1,2015-12-30,12,3,5,05:50,-97.672652,30.386102,2015
Motorcycle,1,2015-12-31,12,4,1,01:12,-97.732617,30.363462,2015
Motor Vehicle,1,2015-12-26,12,6,21,21:06,-97.789771,30.160294,2015
Motorcycle,1,2015-12-31,12,4,11,11:53,-97.779062,30.439465,2015
Pedestrian,1,2016-01-06,1,3,23,23:14,-97.793878,30.475234,2016
Pedestrian,1,2016-01-14,1,4,14,14:46,-97.717471,30.231659,2016
Motor Vehicle,1,2016-01-22,1,5,23,23:29,-97.739337,30.170877,2016
Pedestrian,1,2016-01-30,1,6,20,20:01,-97.679087,30.402741,2016
Motorcycle,1,2016-02-14,2,7,2,02:22,-97.698371,30.191989,2016
Motor Vehicle,1,2016-02-14,2,7,2,02:36,-97.791941,30.197194,2016
Pedestrian,1,2016-02-14,2,7,19,19:05,-97.695743,30.236873,2016
Motorcycle,1,2016-02-18,2,4,13,13:14,-97.795248,30.465592,2016
